MatchIdx,Date,League,HomeTeam,AwayTeam,BetType,Odds,FairOdds,Stake,Result,Win,Profit
1,2023-10-01,0,Freiburg,Augsburg,Draw,4.0,3.701279821887841,1,0,0,-1.0
2,2023-12-01,0,Darmstadt,FC Koln,Draw,3.4,3.346499504471264,1,2,0,-1.0
3,2024-02-02,0,Heidenheim,Dortmund,Draw,4.5,3.9523652677681347,1,1,1,3.5
5,2024-03-02,0,Darmstadt,Augsburg,Draw,3.3,2.944515694228975,1,2,0,-1.0
7,2024-03-02,0,Mainz,M'gladbach,Draw,3.75,3.391984871626938,1,1,1,2.75
10,2023-09-02,0,Augsburg,Bochum,Draw,3.75,3.1560548303173546,1,1,1,2.75
12,2023-09-02,0,Leverkusen,Darmstadt,Draw,7.0,6.282196547285303,1,0,0,-1.0
14,2023-09-02,0,Werder Bremen,Mainz,Draw,3.5,2.9877866274121185,1,0,0,-1.0
16,2023-12-02,0,Bochum,Wolfsburg,Draw,3.6,3.1960877219867934,1,0,0,-1.0
17,2023-12-02,0,M'gladbach,Hoffenheim,Draw,4.0,3.5314415364279625,1,0,0,-1.0
21,2024-02-03,0,Bochum,Augsburg,Draw,3.4,3.269524308172064,1,1,1,2.4
22,2024-02-03,0,Darmstadt,Leverkusen,Draw,6.5,3.9963919897775413,1,2,0,-1.0
24,2024-02-03,0,Mainz,Werder Bremen,Draw,3.5,3.0890570774179698,1,2,0,-1.0
26,2024-03-03,0,FC Koln,Leverkusen,Draw,4.75,4.25083933633418,1,2,0,-1.0
27,2024-03-03,0,Hoffenheim,Werder Bremen,Draw,4.0,3.795243725612072,1,0,0,-1.0
31,2023-11-03,0,Darmstadt,Bochum,Draw,3.75,2.637251695275285,1,2,0,-1.0
32,2023-12-03,0,Mainz,Freiburg,Draw,3.4,2.9507749657908233,1,2,0,-1.0
34,2023-12-03,0,Augsburg,Ein Frankfurt,Draw,3.6,3.500277084042838,1,0,0,-1.0
37,2024-05-04,0,Dortmund,Augsburg,Draw,4.33,4.315517682203136,1,0,0,-1.0
39,2024-05-04,0,Werder Bremen,M'gladbach,Draw,3.75,3.3354579188434803,1,1,1,2.75
40,2024-05-04,0,Wolfsburg,Darmstadt,Draw,5.0,4.65781303676726,1,0,0,-1.0
41,2024-05-04,0,FC Koln,Freiburg,Draw,3.75,3.404370728165761,1,1,1,2.75
43,2023-11-04,0,Freiburg,M'gladbach,Draw,3.8,3.208373368710558,1,1,1,2.8
44,2023-11-04,0,Hoffenheim,Leverkusen,Draw,4.5,4.0959237782840905,1,2,0,-1.0
49,2024-05-05,0,Union Berlin,Bochum,Draw,3.5,3.1307937237041847,1,2,0,-1.0
51,2024-05-05,0,Heidenheim,Mainz,Draw,3.5,2.969173819771458,1,1,1,2.5
56,2024-04-06,0,Heidenheim,Bayern Munich,Draw,6.0,5.156709854209278,1,0,0,-1.0
57,2024-04-06,0,Mainz,Darmstadt,Draw,5.0,3.5512756536476204,1,0,0,-1.0
60,2023-10-06,0,M'gladbach,Mainz,Draw,3.75,3.5724662380998837,1,1,1,2.75
61,2024-02-07,0,Mainz,Union Berlin,Draw,3.3,3.2773770143273824,1,1,1,2.3
62,2024-04-07,0,Hoffenheim,Augsburg,Draw,4.0,3.805059220196363,1,0,0,-1.0
63,2024-04-07,0,Wolfsburg,M'gladbach,Draw,4.0,3.556707304240677,1,2,0,-1.0
64,2023-10-07,0,Augsburg,Darmstadt,Draw,3.75,2.4537198278559162,1,2,0,-1.0
65,2023-10-07,0,Dortmund,Union Berlin,Draw,4.33,3.666520838408861,1,0,0,-1.0
