MatchIdx,Date,League,HomeTeam,AwayTeam,BetType,Odds,FairOdds,Stake,Result,Win,Profit
2,2023-12-01,0,Darmstadt,FC Koln,Draw,3.4,3.0705146139247246,1,2,0,-1.0
3,2024-02-02,0,Heidenheim,Dortmund,Draw,4.5,1.716209025117071,1,1,1,3.5
5,2024-03-02,0,Darmstadt,Augsburg,Draw,3.3,2.141036390677503,1,2,0,-1.0
6,2024-03-02,0,Heidenheim,Ein Frankfurt,Draw,3.3,1.6778702050988448,1,2,0,-1.0
14,2023-09-02,0,Werder Bremen,Mainz,Draw,3.5,1.6717226961515241,1,0,0,-1.0
25,2024-02-03,0,FC Koln,Ein Frankfurt,Draw,3.4,3.0705146139247246,1,0,0,-1.0
32,2023-12-03,0,Mainz,Freiburg,Draw,3.4,1.6245863810518983,1,2,0,-1.0
34,2023-12-03,0,Augsburg,Ein Frankfurt,Draw,3.6,2.6551625118855267,1,0,0,-1.0
46,2023-11-04,0,Union Berlin,Ein Frankfurt,Draw,3.1,1.8520605208096526,1,2,0,-1.0
47,2023-11-04,0,Dortmund,Bayern Munich,Draw,4.33,3.972107270760881,1,2,0,-1.0
49,2024-05-05,0,Union Berlin,Bochum,Draw,3.5,3.1480632764410137,1,2,0,-1.0
51,2024-05-05,0,Heidenheim,Mainz,Draw,3.5,1.9375525464316181,1,1,1,2.5
52,2023-11-05,0,Wolfsburg,Werder Bremen,Draw,4.33,2.1606380768457876,1,1,1,3.33
58,2024-04-06,0,Union Berlin,Leverkusen,Draw,4.33,2.3540328032098157,1,2,0,-1.0
61,2024-02-07,0,Mainz,Union Berlin,Draw,3.3,2.4595814570688943,1,1,1,2.3
64,2023-10-07,0,Augsburg,Darmstadt,Draw,3.75,1.9148773948239337,1,2,0,-1.0
67,2023-10-07,0,Stuttgart,Wolfsburg,Draw,3.5,1.7394452886866079,1,0,0,-1.0
68,2023-10-07,0,Werder Bremen,Hoffenheim,Draw,3.75,1.7655126617470558,1,2,0,-1.0
72,2023-10-08,0,Ein Frankfurt,Heidenheim,Draw,4.0,2.9304655752026023,1,0,0,-1.0
79,2024-03-09,0,Werder Bremen,Dortmund,Draw,4.33,1.5217402106936988,1,2,0,-1.0
81,2023-12-09,0,Heidenheim,Darmstadt,Draw,3.5,1.9820206532447315,1,0,0,-1.0
82,2023-12-09,0,Union Berlin,M'gladbach,Draw,3.5,1.9536586153804936,1,0,0,-1.0
83,2023-12-09,0,Werder Bremen,Augsburg,Draw,3.6,2.141036390677503,1,0,0,-1.0
84,2023-12-09,0,Wolfsburg,Freiburg,Draw,3.5,2.418027603346129,1,2,0,-1.0
86,2024-02-10,0,Augsburg,RB Leipzig,Draw,4.2,4.149927343779431,1,1,1,3.2
101,2024-05-11,0,FC Koln,Union Berlin,Draw,3.3,2.007474978103203,1,0,0,-1.0
107,2023-11-11,0,Bayern Munich,Heidenheim,Draw,17.0,13.121464226289518,1,0,0,-1.0
110,2023-11-11,0,Bochum,FC Koln,Draw,3.4,3.12775579423403,1,1,1,2.4
117,2023-11-12,0,Werder Bremen,Ein Frankfurt,Draw,3.4,1.8869512156082222,1,1,1,2.4
143,2024-03-16,0,Wolfsburg,Augsburg,Draw,3.5,1.8526168148650421,1,2,0,-1.0
144,2024-03-16,0,Hoffenheim,Stuttgart,Draw,4.0,2.1393885147110954,1,2,0,-1.0
149,2023-09-16,0,Wolfsburg,Union Berlin,Draw,3.4,2.0164404629598445,1,0,0,-1.0
150,2023-09-16,0,Bochum,Ein Frankfurt,Draw,3.6,1.8869512156082222,1,1,1,2.6
151,2023-12-16,0,Augsburg,Dortmund,Draw,4.2,2.3161211586444588,1,1,1,3.2
152,2023-12-16,0,Bochum,Union Berlin,Draw,3.4,1.8734496859671883,1,0,0,-1.0
165,2023-09-17,0,Darmstadt,M'gladbach,Draw,3.5,1.7655126617470558,1,1,1,2.5
173,2024-05-18,0,Heidenheim,FC Koln,Draw,4.0,2.4890261688226993,1,0,0,-1.0
174,2024-05-18,0,Hoffenheim,Bayern Munich,Draw,4.5,2.081414014295357,1,0,0,-1.0
178,2024-05-18,0,Werder Bremen,Bochum,Draw,3.6,3.0705146139247246,1,0,0,-1.0
180,2023-08-18,0,Werder Bremen,Bayern Munich,Draw,6.5,2.702840442170559,1,2,0,-1.0
186,2023-08-19,0,Wolfsburg,Heidenheim,Draw,4.2,3.1480632764410137,1,0,0,-1.0
188,2023-12-19,0,Werder Bremen,RB Leipzig,Draw,4.5,2.738030517611586,1,1,1,3.5
191,2024-01-20,0,Bochum,Stuttgart,Draw,3.8,2.2197285555518134,1,0,0,-1.0
193,2024-01-20,0,FC Koln,Dortmund,Draw,4.0,1.9575167209145399,1,2,0,-1.0
197,2024-04-20,0,FC Koln,Darmstadt,Draw,4.75,1.5191950020475706,1,2,0,-1.0
202,2023-08-20,0,Union Berlin,Mainz,Draw,3.5,2.270283325681053,1,0,0,-1.0
205,2023-12-20,0,Union Berlin,FC Koln,Draw,3.6,1.5122312021936788,1,0,0,-1.0
207,2023-12-20,0,Heidenheim,Freiburg,Draw,3.6,1.7275527329468987,1,0,0,-1.0
210,2023-12-20,0,Wolfsburg,Bayern Munich,Draw,5.75,2.692336240489887,1,2,0,-1.0
211,2024-01-21,0,Bayern Munich,Werder Bremen,Draw,11.0,6.75482039737692,1,2,0,-1.0
213,2024-04-21,0,Werder Bremen,Stuttgart,Draw,4.75,1.8721882566585955,1,0,0,-1.0
215,2024-04-21,0,Freiburg,Mainz,Draw,3.5,2.0164404629598445,1,1,1,2.5
229,2023-09-23,0,M'gladbach,RB Leipzig,Draw,4.75,2.4068881351026974,1,2,0,-1.0
231,2023-09-23,0,Werder Bremen,FC Koln,Draw,3.6,1.7133503699308725,1,0,0,-1.0
233,2024-02-24,0,M'gladbach,Bochum,Draw,3.8,2.365117003267738,1,0,0,-1.0
235,2024-02-24,0,Union Berlin,Heidenheim,Draw,3.5,3.1480632764410137,1,1,1,2.5
236,2024-02-24,0,Werder Bremen,Darmstadt,Draw,4.2,3.1692494966992837,1,1,1,3.2
248,2023-11-25,0,Werder Bremen,Leverkusen,Draw,5.0,2.1125647814330777,1,2,0,-1.0
249,2023-11-25,0,Wolfsburg,RB Leipzig,Draw,4.0,3.0705146139247246,1,0,0,-1.0
251,2024-01-26,0,Ein Frankfurt,Mainz,Draw,3.4,2.213924963924964,1,0,0,-1.0
254,2023-08-26,0,Darmstadt,Union Berlin,Draw,3.3,1.7210301692401324,1,2,0,-1.0
257,2023-08-26,0,Heidenheim,Hoffenheim,Draw,3.6,2.1694413614502404,1,2,0,-1.0
259,2023-11-26,0,Heidenheim,Bochum,Draw,3.6,1.8438801223494021,1,1,1,2.6
264,2024-01-27,0,Werder Bremen,Freiburg,Draw,3.5,2.7950722138309705,1,0,0,-1.0
280,2023-10-28,0,Augsburg,Wolfsburg,Draw,3.5,3.0705146139247246,1,0,0,-1.0
287,2023-10-29,0,Ein Frankfurt,Dortmund,Draw,3.4,2.4068881351026974,1,1,1,2.4
293,2024-03-30,0,Werder Bremen,Wolfsburg,Draw,3.5,2.007474978103203,1,2,0,-1.0
297,2023-09-30,0,Heidenheim,Union Berlin,Draw,3.6,3.110332202654047,1,0,0,-1.0
305,2024-02-01,1,West Ham,Bournemouth,Draw,3.75,2.168726613887904,1,1,1,2.75
306,2024-02-01,1,Wolves,Man United,Draw,3.6,3.0705146139247246,1,2,0,-1.0
307,2023-10-01,1,Nott'm Forest,Brentford,Draw,3.1,2.081414014295357,1,1,1,2.1
315,2024-03-02,1,Luton,Aston Villa,Draw,4.2,3.0705146139247246,1,2,0,-1.0
317,2024-04-02,1,Nott'm Forest,Fulham,Draw,3.4,2.007474978103203,1,0,0,-1.0
319,2024-04-02,1,Burnley,Wolves,Draw,3.6,2.77108022766256,1,1,1,2.6
322,2023-09-02,1,Sheffield United,Everton,Draw,3.25,2.4068881351026974,1,1,1,2.25
334,2024-02-03,1,Everton,Tottenham,Draw,3.6,3.0705146139247246,1,1,1,2.6
344,2024-05-03,1,Luton,Everton,Draw,3.6,1.8801311553632443,1,1,1,2.6
358,2024-03-04,1,Sheffield United,Arsenal,Draw,7.0,4.943469785575049,1,2,0,-1.0
368,2023-11-04,1,Burnley,Crystal Palace,Draw,3.25,1.8734496859671883,1,2,0,-1.0
369,2023-11-04,1,Everton,Brighton,Draw,3.6,2.081414014295357,1,1,1,2.6
371,2023-11-04,1,Sheffield United,Wolves,Draw,3.5,1.6251108847203046,1,0,0,-1.0
374,2024-05-05,1,Brighton,Aston Villa,Draw,3.75,3.0705146139247246,1,0,0,-1.0
393,2023-12-06,1,Sheffield United,Liverpool,Draw,7.5,2.4551971326164876,1,2,0,-1.0
395,2023-12-06,1,Man United,Chelsea,Draw,3.4,1.9375525464316181,1,0,0,-1.0
397,2024-04-07,1,Sheffield United,Chelsea,Draw,5.25,4.669322408940332,1,1,1,4.25
399,2023-10-07,1,Luton,Tottenham,Draw,4.75,3.946522122255842,1,2,0,-1.0
400,2023-10-07,1,Burnley,Chelsea,Draw,3.8,1.8897791948456766,1,2,0,-1.0
414,2024-03-09,1,Wolves,Fulham,Draw,3.4,2.7950722138309705,1,0,0,-1.0
419,2023-12-09,1,Sheffield United,Brentford,Draw,3.8,2.9678427820246562,1,0,0,-1.0
437,2024-02-11,1,West Ham,Arsenal,Draw,4.33,1.6694962952408094,1,2,0,-1.0
443,2024-05-11,1,Newcastle,Brighton,Draw,4.75,2.0452087552739115,1,1,1,3.75
446,2024-05-11,1,Wolves,Crystal Palace,Draw,3.5,1.614041430363413,1,2,0,-1.0
447,2024-05-11,1,Nott'm Forest,Chelsea,Draw,3.8,2.4850485870528476,1,2,0,-1.0
453,2023-11-11,1,Bournemouth,Newcastle,Draw,4.0,1.7022844202331382,1,0,0,-1.0
454,2024-01-12,1,Burnley,Luton,Draw,3.6,2.1606380768457876,1,1,1,2.6
458,2023-08-12,1,Bournemouth,West Ham,Draw,3.4,2.9359618638671057,1,1,1,2.4
461,2023-08-12,1,Sheffield United,Crystal Palace,Draw,3.3,3.0705146139247246,1,2,0,-1.0
466,2023-11-12,1,West Ham,Nott'm Forest,Draw,3.6,2.365414911451546,1,0,0,-1.0
471,2024-04-13,1,Newcastle,Tottenham,Draw,4.0,2.172406779252248,1,0,0,-1.0
477,2024-05-13,1,Aston Villa,Liverpool,Draw,4.33,4.026517616354937,1,1,1,3.33
479,2023-08-13,1,Chelsea,Liverpool,Draw,3.4,1.936198540265704,1,1,1,2.4
480,2024-01-14,1,Everton,Aston Villa,Draw,3.5,1.9375525464316181,1,1,1,2.5
483,2024-04-14,1,West Ham,Fulham,Draw,3.6,2.2197285555518134,1,2,0,-1.0
485,2024-05-14,1,Tottenham,Man City,Draw,6.0,2.98564294788817,1,2,0,-1.0
490,2023-12-15,1,Nott'm Forest,Tottenham,Draw,4.2,2.014972527472527,1,2,0,-1.0
494,2023-09-16,1,Wolves,Liverpool,Draw,5.0,1.5323826500297089,1,2,0,-1.0
499,2023-09-16,1,West Ham,Man City,Draw,4.5,1.6978021978021975,1,2,0,-1.0
504,2023-12-16,1,Burnley,Everton,Draw,3.4,2.007474978103203,1,2,0,-1.0
512,2024-03-17,1,West Ham,Aston Villa,Draw,3.75,1.6636758316973101,1,1,1,2.75
519,2024-02-18,1,Sheffield United,Brighton,Draw,4.2,4.087653267784847,1,2,0,-1.0
521,2023-08-18,1,Nott'm Forest,Sheffield United,Draw,3.4,2.0606453158604396,1,0,0,-1.0
527,2024-05-19,1,Burnley,Nott'm Forest,Draw,3.5,2.6551625118855267,1,2,0,-1.0
533,2024-05-19,1,Sheffield United,Tottenham,Draw,6.0,4.166666666666667,1,2,0,-1.0
534,2023-08-19,1,Fulham,Brentford,Draw,3.3,1.7810218968707097,1,2,0,-1.0
537,2023-08-19,1,Tottenham,Man United,Draw,3.6,1.676083530229068,1,0,0,-1.0
543,2024-04-20,1,Sheffield United,Burnley,Draw,3.6,3.0705146139247246,1,2,0,-1.0
547,2024-01-21,1,Sheffield United,West Ham,Draw,3.3,1.6089835164835165,1,1,1,2.3
562,2023-10-21,1,Sheffield United,Man United,Draw,5.25,1.821991888237945,1,2,0,-1.0
569,2023-09-23,1,Luton,Wolves,Draw,3.4,2.172406779252248,1,1,1,2.4
572,2023-09-23,1,Burnley,Man United,Draw,4.2,2.683153638814016,1,2,0,-1.0
