MatchIdx,Date,League,HomeTeam,AwayTeam,BetType,Odds,FairOdds,Stake,Result,Win,Profit
3,2024-02-02,0,Heidenheim,Dortmund,Draw,4.5,4.179103740725873,1,1,1,3.5
5,2024-03-02,0,Darmstadt,Augsburg,Draw,3.3,2.4785008335881957,1,2,0,-1.0
8,2024-03-02,0,Union Berlin,Dortmund,Draw,3.6,3.068080053600243,1,2,0,-1.0
9,2024-03-02,0,Wolfsburg,Stuttgart,Draw,3.5,3.126545439965155,1,2,0,-1.0
15,2023-09-02,0,M'gladbach,Bayern Munich,Draw,5.75,5.084120187524236,1,2,0,-1.0
18,2023-12-02,0,RB Leipzig,Heidenheim,Draw,7.0,5.348270183126887,1,0,0,-1.0
20,2024-02-03,0,Bayern Munich,M'gladbach,Draw,9.5,8.498037347064978,1,0,0,-1.0
22,2024-02-03,0,Darmstadt,Leverkusen,Draw,6.5,5.084120187524236,1,2,0,-1.0
25,2024-02-03,0,FC Koln,Ein Frankfurt,Draw,3.4,2.9491488928450766,1,0,0,-1.0
51,2024-05-05,0,Heidenheim,Mainz,Draw,3.5,2.8787866847364394,1,1,1,2.5
56,2024-04-06,0,Heidenheim,Bayern Munich,Draw,6.0,5.084120187524236,1,0,0,-1.0
58,2024-04-06,0,Union Berlin,Leverkusen,Draw,4.33,3.41591105983858,1,2,0,-1.0
63,2024-04-07,0,Wolfsburg,M'gladbach,Draw,4.0,3.6851742824055655,1,2,0,-1.0
68,2023-10-07,0,Werder Bremen,Hoffenheim,Draw,3.75,3.690137441323892,1,2,0,-1.0
79,2024-03-09,0,Werder Bremen,Dortmund,Draw,4.33,3.6373876203357467,1,2,0,-1.0
80,2023-12-09,0,Ein Frankfurt,Bayern Munich,Draw,5.5,5.084120187524236,1,0,0,-1.0
90,2024-02-10,0,Werder Bremen,Heidenheim,Draw,3.8,3.6512435246329153,1,2,0,-1.0
104,2024-05-11,0,RB Leipzig,Werder Bremen,Draw,6.5,5.173799578543067,1,1,1,5.5
107,2023-11-11,0,Bayern Munich,Heidenheim,Draw,17.0,8.747761308731905,1,0,0,-1.0
108,2023-11-11,0,Darmstadt,Mainz,Draw,3.5,2.8787866847364394,1,1,1,2.5
111,2024-01-12,0,Bayern Munich,Hoffenheim,Draw,9.0,5.775412088944389,1,0,0,-1.0
113,2024-05-12,0,Darmstadt,Hoffenheim,Draw,4.5,4.404957677254097,1,2,0,-1.0
114,2024-05-12,0,Bayern Munich,Wolfsburg,Draw,6.0,5.344035737753523,1,0,0,-1.0
116,2023-11-12,0,Leverkusen,Union Berlin,Draw,6.0,5.7319918825284395,1,0,0,-1.0
117,2023-11-12,0,Werder Bremen,Ein Frankfurt,Draw,3.4,2.567452421279963,1,1,1,2.4
118,2023-11-12,0,RB Leipzig,Freiburg,Draw,5.0,4.911359560884815,1,0,0,-1.0
125,2024-04-13,0,Bayern Munich,FC Koln,Draw,7.5,5.455162033988652,1,0,0,-1.0
128,2024-04-13,0,M'gladbach,Dortmund,Draw,4.0,3.715361206142096,1,2,0,-1.0
129,2024-04-13,0,RB Leipzig,Wolfsburg,Draw,5.0,4.991773769235271,1,0,0,-1.0
133,2024-04-14,0,Darmstadt,Freiburg,Draw,3.8,3.6611412779236394,1,2,0,-1.0
146,2023-09-16,0,Freiburg,Dortmund,Draw,3.8,3.4560724632060076,1,2,0,-1.0
150,2023-09-16,0,Bochum,Ein Frankfurt,Draw,3.6,3.068080053600243,1,1,1,2.6
151,2023-12-16,0,Augsburg,Dortmund,Draw,4.2,3.690137441323892,1,1,1,3.2
153,2023-12-16,0,Darmstadt,Wolfsburg,Draw,3.6,3.029637496222708,1,2,0,-1.0
160,2024-02-17,0,Wolfsburg,Dortmund,Draw,3.8,2.5088029769653657,1,1,1,2.8
165,2023-09-17,0,Darmstadt,M'gladbach,Draw,3.5,3.324181881050393,1,1,1,2.5
