,PC1,PC2,PC3,PC4,PC5
FTHG,0.06266501552043946,-0.03373864231368842,0.010897220341948005,0.007022896947520439,0.008886210625248725
FTAG,-0.023245007724760014,0.07931830831880848,-0.010424689536016205,0.0014705074914073898,-0.0001272342695683333
HTHG,0.043791603771987875,-0.02315005319052771,0.0058779692035837855,0.0048719674368246715,0.003200582148579066
HTAG,-0.01562117338467045,0.05780836885546026,-0.00572531074714637,-0.00024012061817021632,-0.002051959348110862
HS,0.06745147582104016,-0.05443899993698492,0.0038271083683802387,0.004899343658948452,0.007289807756466843
AS,-0.03758916585309901,0.09058883914246499,-0.01432300532672437,-0.0023368647318178226,-0.007698176633733317
HST,0.069192950736167,-0.040538323403027196,0.004632620262792431,0.006258281145130662,0.011177362334833034
AST,-0.0279854646276465,0.08987144280819173,-0.017708949477607372,0.002806808371824232,-0.004223640587986743
HF,-0.03538091428628311,-0.019142305004412857,-0.020487096907166186,-0.00248871420048985,0.006457203674982703
AF,-0.022205051889194534,-0.038338384286664966,-0.01907035174759031,0.0038832249849489187,0.007153982291621244
HC,0.045262588400316495,-0.043572707675322016,0.007140241719148677,0.00337388978552261,-0.0009336205371998085
AC,-0.03192237596726299,0.059680264900628055,-0.007726476842270298,-0.0036144360422712407,-0.008328322448295844
HY,-0.03115421076763263,-0.0055347569721533605,-0.01897342993630923,-0.0011527565925731342,0.0008407137475698878
AY,-0.011641116656116116,-0.030589430895080854,-0.018598508620686984,4.881163202576436e-06,0.0058008434824455835
HR,-0.009312047224392852,-0.0012990761248444548,-0.002146218731659437,0.005383705576218097,-0.0006368124039132575
AR,-0.002603196530843196,-0.011343345730479373,-0.004557019566869247,0.003407998026626778,-0.0023014905755489256
B365H,-0.051963327818768085,0.1923177605152436,0.034557232835934856,-0.014031418713379632,-0.011636740090252801
B365D,0.1436246194866542,0.06624996334713727,0.12221737794482351,-0.008658415677876214,-0.005341276796048977
B365A,0.14439438689396966,-0.0675060093503312,0.11109117980714267,0.0005729422449027776,0.0008727513804745584
BWH,-0.052541242630055766,0.19293399982206172,0.03399692992238386,-0.014026211163136636,-0.011632714297556131
BWD,0.1449299733026652,0.06622393897797041,0.11856338409832194,-0.007897474721554333,-0.005077892123699439
BWA,0.14569329765615124,-0.06468961231674061,0.10711621301612755,0.001044889573623435,0.0023710134976477003
IWH,-0.05175080525504812,0.1879914713461055,0.03130526141915126,-0.011511355505780332,-0.01081918222816944
IWD,0.13933987540615908,0.06519903291824913,0.1179889286503177,-0.008344459381235448,-0.0055602313797916605
IWA,0.13948136411316292,-0.06610601981634234,0.11123986796496911,-0.00102176887635858,0.0016554211701250514
PSH,-0.05291564931554002,0.1934411024150935,0.03556125897571116,-0.014047063616395504,-0.010896326614293256
PSD,0.14612360193868656,0.06639247302184931,0.1102459793860923,-0.007109619792054332,-0.00560687238941857
PSA,0.14534573623497812,-0.06419172659062708,0.10511033319940903,0.000734878851810447,0.0014409903023938854
WHH,-0.050825290032174585,0.19473730604285447,0.035561320287958366,-0.013594899439295337,-0.010930990113968525
WHD,0.14420133608731361,0.06547331290610131,0.12341234653113636,-0.008134805238958985,-0.005113716567062563
WHA,0.1463709791917478,-0.06171601381607929,0.10664519082959265,0.0004274734823171682,0.001967461496866225
VCH,-0.04954899378890195,0.19268758806285438,0.03578429494813878,-0.014066012635963993,-0.012324342350645919
VCD,0.14375004642718403,0.0658786787385056,0.12524709421642283,-0.008348891251956835,-0.004727540191200297
VCA,0.1438677521846968,-0.06024501279712049,0.11822846779072249,-0.0007091348392151488,0.0013303446095137923
Bb1X2,0.0011349559009170248,0.001860172458850718,0.011329714006886666,-0.0009567059511058921,-0.000941664662665389
BbMxH,-0.011656173255614398,0.04790602703321645,-0.022423843379158877,-0.01039368796185575,-0.013129270965083178
BbAvH,-0.012696985625158495,0.04822491411948588,-0.031267113949476975,-0.010170434321977546,-0.013148785138006432
BbMxD,0.031207381885621936,0.0024721223164502907,0.2989751152730907,-0.011241269807812473,-0.004510599687193531
BbAvD,0.03130508658988664,0.002863702781415148,0.301129770792719,-0.011416987482408655,-0.0046684921084898905
BbMxA,0.03403858053210718,-0.02059064504325615,0.27310862164979516,-0.0048630275109052745,0.0024090472953397024
BbAvA,0.034461788414701565,-0.022803693690044098,0.27272259051302705,-0.004329109586662153,0.003043328055504041
BbOU,-0.0044726491759503875,0.001133384079958033,-0.04190781010256644,0.0011358830372394108,-8.916115788015825e-06
BbMx>2.5,-0.01866095723216689,-0.007664036532937164,-0.22969884661240866,0.010234237399291087,0.0056188741438484395
BbAv>2.5,-0.018847666372815854,-0.007681311718982277,-0.23139027495894124,0.010298701280178086,0.005644180328296651
BbMx<2.5,0.0247281923379153,0.005406520835123319,0.2733916694350348,-0.011194574142414765,-0.005398917599676875
BbAv<2.5,0.024616986709843577,0.005469107806562576,0.27285054051239577,-0.011195638943109001,-0.0054258565869919175
BbAH,0.009375368127042377,0.0020422955031497328,0.10356306356927694,-0.004274889043986733,-0.0020977061203339997
